Courier Slug,Courier Name
xpert-delivery,Xpert Delivery
weee,Weee
dayross,Day & Ross
fleetopticsinc,FleetOptics
gio-ecourier,GIO Express Inc
fiege-nl,Fiege Netherlands
aeronet,Aeronet
israel-post,Israel Post
metabrasil-webhook,META
swiss-post,Swiss Post
sending,Sending Transporte Urgente y Comunicacion, S.A.U
paikeda,Paikeda
portugal-seur,Portugal Seur
shipwestgate,Westgate Global
shiphawk-api,Shiphawk
mainway,Mainway
kurasi,KURASI
bomi,Bomi Group
gls-us-freight,GLS US Freight
geswl,GESWL Express
apc-overnight-connum,APC Overnight Consignment Number
gtagsm,GTA GSM
shippify,Shippify, Inc
zadbano-webhook,Zadbano
cdek-tr,CDEK TR
dhl,DHL Express
aderonline,Ader
sagawa,Sagawa
dhlparcel-nl,DHL Parcel NL
shunbang-express,ShunBang Express
easyroutes,EasyRoutes
gols,GO Logistics & Storage
expressone-sv,EXPRESSONE
sprint-pack,SPRINT PACK
zuelligpharma-sftp,Zuellig Pharma Korea
aramex-au-api,Fastway Australia
cnwangtong,cnwangtong
dirmensajeria,DIR
freterapido,Frete Rápido
elian-post,Yilian (Elian) Supply Chain
dimerco,Dimerco Express Group
abf,ABF Freight
zinc,Zinc
gls-romania,GLS Romania
dpd-at,DPD Austria
newzealand-couriers,New Zealand Couriers
ao-courier,AO Logistics
gofoexpress-it,GOFO Italy
b2ceurope,B2C Europe
xl-express,XL Express
simsglobal,Sims Global
ads,ADS Express
mydynalogic,My DynaLogic
collivery,MDS Collivery Pty (Ltd)
agediss,Agediss
fmx,FMX
rl-carriers,RL Carriers
champagne-logistics,Champagne Logistics
saia-freight,Saia LTL Freight
india-post,India Post Domestic
vdtrack,VDtrack
packeta,Packeta
ntilogistics-ftp,NTI Logistics
jtcargo,J&T CARGO
whistl,Whistl
geis,Geis CZ
dutchx-webhook,DutchX
fragilepak-sftp,FragilePAK
maxoptra,Max Optra
spanish-seur,Spanish Seur
directcouriers,Direct Couriers
statovernight,Stat Overnight
logoix,LogoiX
postur-is,Iceland Post
dpd-ro,DPD Romania
india-post-int,India Post International
ecom-express,Ecom Express
helthjem,Helthjem
pilot-freight,Pilot Freight (Maersk)
gofoexpress-fr,GOFO France
kgmhub,KGM Hub
inpost-it,Inpost Italy
dpd-sk-sftp,DPD Slovakia
sto,STO Express
aaa-cooper,AAA Cooper
castlers,Castlers Software Company Limited
icscourier,ICS COURIER
bring,Bring
gdex,GDEX
dtdc,DTDC India
cnexps,CNE Express
dpd-hk,DPD HK
parcll,GOFO
fargood,FarGood
ntlogistics-vn,Nhat Tin Logistics
star-track-courier,Star Track Courier
fliway-api,Fliway
pfcexpress,PFC Express
gls-fr-ftp,GLS France
shreenandancourier,SHREE NANDAN COURIER
dashlink-webhook,DashLink
